/m/0120dh,Sea turtle
/m/012n7d,Ambulance
/m/014j1m,Apple
/m/01_5g,Chopsticks
/m/015p6,Bird
/m/015qff,Traffic light
/m/0174n1,Glove
/m/01940j,Backpack
/m/0199g,Bicycle
/m/019w40,Surfboard
/m/01bjv,Bus
/m/01c648,Laptop
/m/01d380,Drill (Tool)
/m/01dws,Bear
/m/01fh4r,Teapot
/m/01h3n,Bee
/m/01h8tj,Starfish
/m/01jfm_,Vehicle registration plate
/m/01lcw4,Limousine
/m/01mzpv,Chair
/m/01n4qj,Shirt
/m/01x3jk,Snowmobile
/m/01x3z,Clock
/m/01xs3r,Jet ski
/m/01x_v,Camel
/m/020jm,Beetle
/m/020kz,Cannon
/m/025fsf,Stapler
/m/029b3,Dice
/m/02hj4,Dolphin
